county_fips,county,state,annual_zhvi_2015,annual_zhvi_2024,median_household_income_2015,median_household_income_2024,payment_burden_2015_pct,payment_burden_2024_pct,zhvi_growth_pct,income_growth_pct,payment_growth_pct,burden_change_pp
12039,Gadsden County,FL,94592.26,205474.04,36637.0,56398.0,11.62,22.62,117.22,53.94,199.62,11.0
12041,Gilchrist County,FL,123980.34,297386.88,39342.0,58365.0,14.18,31.63,139.87,48.35,230.85,17.45
12043,Glades County,FL,102598.0,268727.72,40215.0,58721.0,11.48,28.41,161.92,46.02,261.28,16.93
12045,Gulf County,FL,188910.83,429276.41,41320.0,63384.0,20.58,42.05,127.24,53.4,213.43,21.47
12047,Hamilton County,FL,86846.44,203838.03,33497.0,48859.0,11.67,25.9,134.71,45.86,223.74,14.23
12049,Hardee County,FL,94075.72,235824.16,35850.0,56091.0,11.81,26.1,150.67,56.46,245.76,14.29
12051,Hendry County,FL,97299.17,292467.76,39320.0,57691.0,11.14,31.47,200.59,46.72,314.6,20.33
12053,Hernando County,FL,120889.05,329390.45,43103.0,68768.0,12.62,29.74,172.47,59.54,275.83,17.11
12055,Highlands County,FL,95574.25,242384.7,34691.0,56218.0,12.4,26.77,153.61,62.05,249.81,14.37
12057,Hillsborough County,FL,178051.19,404907.7,51710.0,84691.0,15.5,29.68,127.41,63.78,213.67,14.18
12059,Holmes County,FL,97581.02,196030.44,35202.0,52901.0,12.48,23.0,100.89,50.28,177.09,10.53
12061,Indian River County,FL,177424.35,395850.38,49887.0,81530.0,16.01,30.14,123.11,63.43,207.74,14.13
12063,Jackson County,FL,91683.33,182138.73,36751.0,55272.0,11.23,20.46,98.66,50.4,174.02,9.23
12065,Jefferson County,FL,143743.51,302005.59,42210.0,64680.0,15.33,28.99,110.1,53.23,189.8,13.66
12067,Lafayette County,FL,120131.08,251485.99,40345.0,57560.0,13.4,27.12,109.34,42.67,188.75,13.72
12069,Lake County,FL,177749.65,382463.31,49711.0,76542.0,16.09,31.02,115.17,53.97,196.79,14.93
12071,Lee County,FL,195670.54,395187.61,50713.0,83479.0,17.37,29.39,101.97,64.61,178.58,12.02
12073,Leon County,FL,168747.19,295831.26,46405.0,64847.0,16.37,28.32,75.31,39.74,141.81,11.95
12075,Levy County,FL,124926.12,302363.53,36005.0,54617.0,15.62,34.37,142.03,51.69,233.84,18.75
12077,Liberty County,FL,99206.93,197513.68,39623.0,57015.0,11.27,21.51,99.09,43.89,174.61,10.24
12079,Madison County,FL,99507.94,211023.62,34360.0,51714.0,13.03,25.33,112.07,50.51,192.51,12.3
12081,Manatee County,FL,224329.8,463268.66,50728.0,81174.0,19.9,35.43,106.51,60.02,184.85,15.53
12083,Marion County,FL,122573.24,287924.97,40053.0,64046.0,13.77,27.91,134.9,59.9,224.0,14.14
12085,Martin County,FL,220151.92,482138.89,53459.0,94583.0,18.54,31.65,119.0,76.93,202.07,13.11
12086,Miami-Dade County,FL,242916.98,537604.54,43687.0,75779.0,25.03,44.04,121.31,73.46,205.26,19.02
12089,Nassau County,FL,234593.88,495018.93,55707.0,94297.0,18.95,32.59,111.01,69.27,191.05,13.64
12091,Okaloosa County,FL,194620.88,369161.56,55391.0,81348.0,15.81,28.17,89.68,46.86,161.63,12.36
12093,Okeechobee County,FL,105971.76,287638.01,35787.0,63153.0,13.33,28.28,171.43,76.47,274.39,14.95
12095,Orange County,FL,193528.6,424421.01,50593.0,81645.0,17.22,32.27,119.31,61.38,202.49,15.06
12097,Osceola County,FL,178947.56,393437.58,45127.0,76172.0,17.85,32.07,119.86,68.79,203.26,14.22
12099,Palm Beach County,FL,231118.97,499988.09,56638.0,84857.0,18.37,36.58,116.33,49.82,198.39,18.21
12101,Pasco County,FL,152403.79,359670.5,46080.0,72562.0,14.89,30.77,136.0,57.47,225.52,15.89
12103,Pinellas County,FL,174859.09,413080.46,47591.0,73605.0,16.54,34.84,136.24,54.66,225.85,18.3
12105,Polk County,FL,137996.62,319360.42,44024.0,66708.0,14.11,29.72,131.43,51.53,219.21,15.61
12107,Putnam County,FL,90518.85,223322.33,32351.0,52250.0,12.59,26.53,146.71,61.51,240.3,13.94
12109,Saint Johns County,FL,270399.58,523327.11,71896.0,117178.0,16.93,27.73,93.54,62.98,166.95,10.8
12111,Saint Lucie County,FL,154977.75,396967.15,45918.0,73824.0,15.19,33.38,156.14,60.77,253.31,18.19
12113,Santa Rosa County,FL,175634.27,357123.37,59289.0,88354.0,13.33,25.09,103.33,49.02,180.46,11.76
12115,Sarasota County,FL,229758.95,462489.19,55882.0,83367.0,18.51,34.44,101.29,49.18,177.65,15.94
12117,Seminole County,FL,194492.48,425744.84,57357.0,85415.0,15.26,30.94,118.9,48.92,201.93,15.68
12119,Sumter County,FL,252663.67,398453.45,54592.0,85035.0,20.83,29.09,57.7,55.76,117.52,8.26
12121,Suwannee County,FL,120267.58,260256.3,37368.0,59072.0,14.49,27.35,116.4,58.08,198.48,12.87
12123,Taylor County,FL,96851.71,195744.52,39116.0,53844.0,11.14,22.57,102.11,37.65,178.77,11.42
12125,Union County,FL,118483.14,258857.01,41078.0,63669.0,12.98,25.24,118.48,55.0,201.35,12.26
12127,Volusia County,FL,150885.8,349035.79,42334.0,71203.0,16.04,30.43,131.32,68.19,219.07,14.39
12129,Wakulla County,FL,142115.32,289028.11,48703.0,77770.0,13.13,23.07,103.38,59.68,180.52,9.94
12131,Walton County,FL,332525.35,703660.7,47875.0,83035.0,31.26,52.61,111.61,73.44,191.88,21.35
12133,Washington County,FL,99715.65,224850.03,36328.0,61932.0,12.35,22.54,125.49,70.48,211.02,10.18
